system:time_start,Garam Chasma,Oweer Lasht Bala,Mori Lusht,Riri Owir,Buni,Mastuj,Dhok,Brep,Lasht,Dewseer,Yarkhun Lusht,Chikar,Darkut,Tirsat,Yasin Proper,Sosat Gipus,Serbel,Asambar,Ishkoman Payeen,Badswat,Hussinabad,Hasanabad,Passu,Ziarat,Rasht,Jun Kharchanai,Arandu,Shigar
18-Apr-26,7.869,5.348,9.117,21.444,9.946,7.992,9.946,6.052,8.661,6.668,5.605,4.984,7.287,7.287,7.439,5.988,5.988,9.336,7.464,6.768,8.765,8.077,7.586,4.732,4.703,5.311,7.063,8.418
18-Apr-26,7.767,5.227,9.251,21.282,9.855,7.791,9.855,5.871,8.651,6.647,5.619,4.954,7.187,7.187,7.445,5.829,5.829,9.402,7.415,6.819,8.744,8.162,7.583,4.711,4.679,5.248,7.008,8.015
18-Apr-26,7.292,5.24,9.224,21.377,9.784,7.713,9.784,5.79,8.537,6.547,5.651,4.846,6.937,6.937,7.267,5.814,5.814,9.467,7.353,6.852,8.768,8.164,7.5,4.731,4.656,5.252,6.963,7.742
18-Apr-26,7.273,4.865,8.548,21.001,9.714,7.802,9.714,6.012,8.593,6.529,5.62,4.826,7.135,7.135,7.404,5.847,5.847,9.458,7.405,6.788,8.695,8.101,7.393,4.716,4.705,5.314,6.953,7.487
18-Apr-26,7.001,4.772,8.565,20.229,9.097,7.797,9.097,5.929,8.41,6.524,5.345,4.837,7.1,7.1,7.354,5.804,5.804,9.401,7.428,6.797,8.644,8.002,7.457,4.709,4.681,5.306,6.943,7.393
18-Apr-26,6.713,4.682,8.837,19.42,8.791,7.684,8.791,5.829,8.09,6.391,5.277,4.868,7.025,7.025,7.111,5.74,5.74,9.452,7.37,6.801,8.594,7.949,7.564,4.689,4.698,5.266,6.703,7.223
19-Apr-26,6.603,4.143,8.6,18.296,8.335,7.415,8.335,5.567,7.887,6.154,5.018,4.69,6.883,6.883,7.029,5.659,5.659,9.325,7.179,6.704,8.488,7.909,7.447,4.656,4.669,5.272,6.647,7.199
19-Apr-26,6.125,3.873,8.042,16.788,8.137,7.351,8.137,5.458,7.631,6.125,4.657,4.682,6.869,6.869,6.924,5.213,5.213,8.914,7.178,6.559,8.429,7.874,7.423,4.631,4.612,5.239,6.645,7.188
19-Apr-26,5.378,3.474,7.154,16.414,7.725,7.274,7.725,5.533,7.272,5.986,4.203,4.608,6.523,6.523,6.525,4.595,4.595,8.971,6.704,6.293,8.363,7.827,7.517,4.629,4.47,5.23,6.691,7.059
19-Apr-26,5.09,3.567,6.423,16.588,7.273,6.479,7.273,5.074,6.527,5.754,3.996,4.593,6.057,6.057,5.959,4.293,4.293,9.012,6.594,6.557,8.301,7.812,7.452,4.652,4.572,5.218,6.705,7.337
19-Apr-26,5.001,3.724,6.023,16.167,7.372,6.22,7.372,4.207,6.777,5.39,4.011,4.58,5.574,5.574,5.721,4.151,4.151,8.991,6.286,6.459,8.164,7.521,7.383,4.638,4.588,5.259,6.828,7.769
19-Apr-26,4.965,3.703,6.231,15.93,7.183,6.197,7.183,4.004,6.988,5.341,4.217,3.909,5.791,5.791,5.711,3.769,3.769,8.919,6.692,6.564,8.041,7.343,6.74,4.249,4.599,5.223,6.903,8.108
19-Apr-26,4.825,3.51,6.449,15.738,6.847,6.207,6.847,3.983,6.783,5.247,4.502,3.929,5.649,5.649,5.678,3.718,3.718,8.706,6.527,6.574,7.596,6.946,6.148,3.732,4.468,5.004,6.938,8.111
19-Apr-26,4.95,3.51,6.353,15.35,6.934,6.053,6.934,4.203,6.739,5.216,4.672,3.918,6.025,6.025,5.768,4.017,4.017,8.427,6.817,6.349,7.086,6.643,6.24,3.464,4.243,4.385,6.91,7.715
19-Apr-26,5.03,3.614,6.43,15.804,6.94,6.062,6.94,4.398,6.822,5.374,4.564,3.958,6.004,6.004,5.479,3.935,3.935,7.323,6.82,5.988,7.364,6.638,6.156,3.531,3.814,4.126,6.959,7.012
19-Apr-26,5.371,3.736,6.51,16.005,6.488,5.909,6.488,4.566,6.976,5.389,4.419,4.091,5.787,5.787,5.357,3.897,3.897,6.414,6.392,5.667,7.574,6.68,6.073,3.395,3.261,3.899,6.955,6.307
19-Apr-26,5.457,3.743,6.623,16.351,6.484,5.663,6.484,4.55,6.611,5.436,4.475,4.108,5.615,5.615,5.139,4.099,4.099,6.214,6.036,5.516,7.42,6.635,5.595,3.564,3.337,3.985,6.676,6.033
19-Apr-26,5.443,3.764,6.491,16.059,6.611,5.726,6.611,4.571,6.539,5.288,4.43,4.161,5.384,5.384,5.192,4.18,4.18,6.411,5.755,5.291,7.296,6.518,5.393,3.328,3.43,4.254,6.296,6.201
19-Apr-26,5.401,3.729,6.153,16.214,6.651,5.835,6.651,4.686,6.675,5.237,4.299,4.177,5.201,5.201,5.245,4.054,4.054,6.409,5.563,5.161,7.459,6.673,5.483,3.44,3.499,4.201,5.905,6.357
19-Apr-26,5.351,3.401,5.86,16.582,6.676,5.876,6.676,4.694,6.582,5.174,4.22,3.926,5.202,5.202,5.174,3.762,3.762,6.356,5.482,5.108,6.999,6.462,5.654,3.687,3.486,4.202,5.308,6.91
19-Apr-26,5.149,3.358,5.742,17.083,6.627,5.785,6.627,4.501,6.67,5.094,4.142,3.723,5.137,5.137,5.136,3.659,3.659,6.552,5.421,4.961,6.486,6.014,5.392,3.633,3.245,4.107,5.198,7.115
19-Apr-26,4.96,3.078,5.456,16.957,6.712,5.698,6.712,4.522,6.613,5.16,3.925,3.72,5.15,5.15,5.174,3.747,3.747,6.736,5.573,5.067,6.346,5.886,5.312,3.328,3.13,4.061,5.138,7.118
19-Apr-26,4.717,2.899,5.445,15.662,6.616,5.386,6.616,4.227,6.514,5.003,3.632,3.611,5.115,5.115,5.014,3.669,3.669,7.045,5.509,5.182,6.142,5.739,5.347,3.227,3.074,3.848,5.205,6.827
19-Apr-26,4.66,2.665,5.38,14.132,6.508,5.181,6.508,3.975,6.378,4.825,3.277,3.541,4.869,4.869,4.809,3.537,3.537,6.981,5.521,5.095,6.081,5.655,5.365,3.21,3.077,3.94,5.271,6.57
19-Apr-26,4.547,2.589,5.28,12.851,6.307,4.986,6.307,3.811,6.264,4.651,2.888,3.44,4.672,4.672,4.562,3.4,3.4,6.738,5.464,4.883,5.84,5.432,5.275,3.163,2.872,3.832,5.202,6.267
19-Apr-26,4.237,2.514,5.012,11.789,6.167,4.922,6.167,3.642,6.098,4.452,2.522,3.184,4.588,4.588,4.444,3.244,3.244,6.554,5.284,4.599,5.73,5.3,5.082,3.01,2.72,3.58,5.181,6.09
19-Apr-26,3.91,2.289,4.721,11.083,5.764,4.679,5.764,3.438,5.795,4.193,2.27,3.017,4.473,4.473,4.311,3.131,3.131,6.305,5.196,4.438,5.652,5.331,5.147,2.977,2.529,3.452,5.131,5.862
19-Apr-26,3.57,2.086,4.393,10.54,5.423,4.442,5.423,3.231,5.516,3.954,2.138,2.862,4.377,4.377,4.188,2.985,2.985,5.94,5.047,4.3,5.495,5.268,5.239,2.982,2.414,3.306,5.066,5.631
19-Apr-26,3.38,1.731,4.155,10.359,5.11,4.271,5.11,3.156,5.299,3.811,2.011,2.772,4.345,4.345,4.123,2.843,2.843,5.625,4.766,4.027,5.236,5.084,5.169,2.884,2.275,3.156,4.844,5.567
19-Apr-26,3.275,1.582,4.249,10.115,4.931,4.007,4.931,2.875,5.014,3.523,2.012,2.695,4.254,4.254,3.907,2.702,2.702,5.444,4.515,3.859,5.124,4.931,4.972,2.673,2.204,3.092,4.715,5.423
20-Apr-26,3.093,1.453,4.364,9.893,4.89,3.937,4.89,2.829,4.842,3.409,1.986,2.602,4.117,4.117,3.815,2.639,2.639,5.258,4.268,3.647,4.988,4.729,4.887,2.652,2.113,3.012,4.629,5.25
20-Apr-26,2.842,1.303,4.074,9.689,4.719,3.817,4.719,2.788,4.69,3.337,1.873,2.58,4.063,4.063,3.807,2.682,2.682,5.233,4.178,3.602,4.95,4.612,4.753,2.57,2.009,2.881,4.502,5.182
20-Apr-26,2.666,1.169,3.917,9.78,4.439,3.61,4.439,2.668,4.49,3.26,1.773,2.53,4.012,4.012,3.749,2.583,2.583,5.17,4.178,3.613,4.949,4.594,4.697,2.596,1.973,2.786,4.396,5.127
20-Apr-26,2.518,1.166,3.797,9.79,4.185,3.437,4.185,2.55,4.261,3.093,1.731,2.523,3.955,3.955,3.686,2.491,2.491,5.073,4.137,3.56,4.945,4.662,4.798,2.648,2.065,2.833,4.393,5.134
20-Apr-26,2.476,1.391,3.892,9.988,3.967,3.295,3.967,2.486,4.059,2.926,1.828,2.446,3.859,3.859,3.636,2.515,2.515,5.015,4.135,3.58,4.953,4.662,4.844,2.755,2.251,2.921,4.366,5.105
20-Apr-26,2.623,1.778,4.125,10.287,3.877,3.236,3.877,2.45,3.949,2.842,2.109,2.405,3.781,3.781,3.633,2.58,2.58,4.924,4.053,3.551,4.889,4.631,4.845,2.893,2.487,2.986,4.333,4.997
20-Apr-26,2.921,2.204,4.449,10.79,4.014,3.335,4.014,2.55,3.926,2.863,2.559,2.51,3.766,3.766,3.662,2.758,2.758,4.945,3.983,3.519,4.847,4.595,4.795,3.027,2.681,3.031,4.231,4.999
20-Apr-26,3.213,2.52,4.509,11.813,4.328,3.534,4.328,2.682,3.997,2.92,2.997,2.698,3.819,3.819,3.779,3.088,3.088,5.016,4.01,3.568,4.76,4.558,4.76,3.144,2.81,3.016,4.166,5
20-Apr-26,3.591,2.852,4.446,12.572,4.804,3.793,4.804,2.817,4.113,2.964,3.371,2.945,3.894,3.894,3.881,3.387,3.387,5.191,4.111,3.63,4.764,4.574,4.718,3.311,2.951,2.956,4.199,5.02
20-Apr-26,4.027,3.2,4.571,13.134,5.275,4.123,5.275,2.987,4.317,3.037,3.729,3.134,3.913,3.913,3.987,3.667,3.667,5.365,4.166,3.614,4.761,4.582,4.701,3.467,3.08,2.905,4.36,5.094
20-Apr-26,4.411,3.455,4.568,13.49,5.739,4.456,5.739,3.227,4.648,3.181,4.136,3.237,3.891,3.891,4.067,3.928,3.928,5.498,4.139,3.523,4.779,4.514,4.653,3.445,3.187,2.872,4.519,5.127
20-Apr-26,4.845,3.601,4.417,13.858,6.18,4.725,6.18,3.441,5.065,3.322,4.418,3.241,3.921,3.921,4.114,4.153,4.153,5.565,4.125,3.365,4.836,4.442,4.572,3.362,3.29,2.807,4.577,5.225
20-Apr-26,4.848,3.663,4.213,14.189,6.653,4.93,6.653,3.533,5.388,3.453,4.64,3.263,4.048,4.048,4.128,4.26,4.26,5.493,4.151,3.242,4.917,4.322,4.418,3.226,3.303,2.77,4.544,5.341
20-Apr-26,4.834,3.674,3.853,14.781,7.077,5.082,7.077,3.631,5.569,3.593,4.791,3.242,4.167,4.167,4.236,4.194,4.194,5.465,4.058,3.153,4.884,4.209,4.325,3.061,3.213,2.713,4.437,5.517
20-Apr-26,4.732,3.612,3.621,14.284,7.303,5.247,7.303,3.749,5.676,3.74,4.815,3.236,4.221,4.221,4.308,3.965,3.965,5.377,4.015,3.169,4.826,4.153,4.242,2.941,3.1,2.639,4.295,5.721
20-Apr-26,4.744,3.613,3.573,13.877,7.242,5.322,7.242,3.853,5.615,3.856,4.823,3.205,4.226,4.226,4.432,3.844,3.844,5.383,3.992,3.22,4.717,4.1,4.18,2.794,2.952,2.564,4.138,5.89
20-Apr-26,4.54,3.712,3.673,13.627,7.121,5.4,7.121,3.924,5.633,4.003,4.835,3.182,4.256,4.256,4.433,3.568,3.568,5.385,4.016,3.304,4.627,4.059,4.158,2.67,2.75,2.497,4.036,6.049
20-Apr-26,4.263,3.54,3.868,12.827,6.783,5.359,6.783,3.931,5.591,4.111,4.643,3.183,4.238,4.238,4.425,3.398,3.398,5.265,3.958,3.286,4.543,4.028,4.132,2.588,2.551,2.575,3.955,6.158
20-Apr-26,4.274,3.592,4.146,11.936,6.426,5.132,6.426,3.804,5.349,4.077,4.61,3.074,4.135,4.135,4.352,3.12,3.12,5.172,3.887,3.296,4.56,4.045,4.087,2.471,2.383,2.682,3.89,6.213
20-Apr-26,4.309,3.725,4.673,11.472,6.299,5.032,6.299,3.664,5.245,4.029,4.579,2.931,4.046,4.046,4.288,2.974,2.974,5.059,3.784,3.233,4.541,4,3.875,2.366,2.237,2.801,3.841,6.227
20-Apr-26,4.357,3.479,4.727,10.584,6.055,5.058,6.055,3.687,5.226,4.116,4.583,2.908,4.008,4.008,4.268,2.98,2.98,4.954,3.7,3.159,4.482,3.935,3.668,2.167,2.127,2.812,3.784,6.125
20-Apr-26,4.411,3.659,4.833,9.865,5.855,4.9,5.855,3.607,5.148,4.035,4.668,2.959,4.03,4.03,4.271,2.937,2.937,4.998,3.763,3.183,4.359,3.774,3.521,2.076,2.055,2.803,3.74,5.884
20-Apr-26,4.473,3.532,4.76,9.099,5.715,4.844,5.715,3.611,5.201,4.049,4.593,3.022,4.025,4.025,4.272,2.974,2.974,4.972,3.833,3.171,4.328,3.748,3.416,2,2.059,2.763,3.75,5.651
20-Apr-26,4.256,3.259,4.622,8.192,5.485,4.705,5.485,3.552,5.193,4.005,4.328,3.048,3.894,3.894,4.225,3.008,3.008,4.957,3.865,3.206,4.296,3.705,3.374,1.977,2.046,2.757,3.733,5.445
21-Apr-26,4.131,3.094,4.4,7.64,5.275,4.507,5.275,3.363,5.053,3.856,4.136,2.987,3.689,3.689,4.158,3.043,3.043,4.816,3.782,3.104,4.179,3.713,3.377,1.993,2.04,2.729,3.699,5.213
21-Apr-26,3.898,2.874,4.333,7.514,5.13,4.324,5.13,3.194,4.905,3.698,3.857,2.906,3.473,3.473,4.025,2.954,2.954,4.706,3.613,3.013,4.039,3.615,3.293,1.988,2.013,2.695,3.65,5.039
21-Apr-26,3.593,2.479,3.857,7.076,4.841,3.98,4.841,2.961,4.767,3.532,3.412,2.662,3.319,3.319,3.795,2.769,2.769,4.625,3.478,2.974,3.915,3.468,3.174,1.95,1.969,2.604,3.643,4.796
21-Apr-26,3.516,2.468,4.012,7.284,4.704,3.694,4.704,2.809,4.484,3.289,3.203,2.531,3.321,3.321,3.692,2.598,2.598,4.488,3.363,2.852,3.795,3.395,3.1,1.907,1.873,2.56,3.627,4.612
21-Apr-26,3.204,2.223,3.74,7.206,4.554,3.646,4.554,2.834,4.542,3.35,2.927,2.502,3.321,3.321,3.543,2.372,2.372,4.484,3.378,2.924,3.778,3.276,2.935,1.876,1.902,2.418,3.663,4.462
21-Apr-26,3.345,2.075,3.427,7.488,4.289,3.47,4.289,2.776,4.417,3.249,2.67,2.334,3.27,3.27,3.532,2.526,2.526,4.468,3.31,2.8,3.737,3.235,2.988,2.036,1.937,2.422,3.656,4.358
21-Apr-26,3.399,2.479,3.843,7.663,4.249,3.379,4.249,2.743,4.313,3.196,2.603,2.31,3.209,3.209,3.372,2.398,2.398,4.286,3.251,2.756,3.604,3.115,2.897,2.012,1.919,2.422,3.691,4.281
21-Apr-26,3.69,2.245,3.608,7.96,4.336,3.52,4.336,2.583,4.448,3.179,2.57,2.312,3.13,3.13,3.263,2.301,2.301,4.295,3.258,2.803,3.578,3.155,2.843,2.04,1.96,2.394,3.594,4.283
21-Apr-26,4.571,2.924,4.433,9.278,4.232,3.384,4.232,2.724,4.315,3.42,2.958,2.564,3.214,3.214,3.308,2.545,2.545,4.097,3.163,2.785,3.547,3.137,2.868,2.118,2.022,2.31,3.491,4.15
21-Apr-26,5.357,3.109,4.989,9.54,4.789,3.624,4.789,2.664,4.597,3.472,3.367,2.61,3.288,3.288,3.301,2.533,2.533,4.268,3.234,2.842,3.474,2.981,2.944,2.372,2.29,2.248,3.45,4.052
21-Apr-26,5.76,2.999,5.224,9.308,5.076,4.125,5.076,2.815,4.77,3.965,3.476,2.46,3.183,3.183,3.247,2.629,2.629,4.3,3.197,2.717,3.612,3.128,3.077,2.37,2.468,2.2,3.352,4.052
21-Apr-26,6.305,3.156,5.476,10.035,5.275,4.39,5.275,2.791,4.823,3.943,3.643,2.662,3.595,3.595,3.492,2.929,2.929,4.295,3.143,2.708,3.494,3.071,3.311,2.359,2.574,2.086,3.211,4.055
21-Apr-26,6.991,3.343,5.85,10.7,5.664,4.936,5.664,2.904,4.968,3.826,3.88,2.642,3.661,3.661,3.512,2.957,2.957,4.536,3.22,2.792,3.552,3.146,3.448,2.252,2.714,2.053,3.133,3.98
21-Apr-26,6.816,3.447,5.698,10.455,5.919,5.144,5.919,3.205,5.272,3.679,4.084,2.66,3.844,3.844,3.532,3.072,3.072,4.554,3.312,2.887,3.56,3.16,3.488,2.212,2.663,1.983,2.936,3.989
21-Apr-26,6.586,3.546,5.68,11.044,6.023,4.938,6.023,3.41,5.391,3.6,4.085,2.623,3.944,3.944,3.58,3.247,3.247,4.754,3.408,2.869,3.485,3.277,3.708,1.965,2.674,2.037,2.778,3.869
21-Apr-26,6.556,3.683,5.68,11.657,5.944,4.752,5.944,3.377,5.403,3.483,4.363,2.459,3.857,3.857,3.512,3.224,3.224,4.758,3.62,2.956,3.425,3.344,3.796,1.852,2.483,2.204,2.715,3.873
21-Apr-26,6.536,3.807,5.869,11.867,6.059,4.685,6.059,3.41,5.551,3.557,4.682,2.339,3.679,3.679,3.511,3.29,3.29,4.643,3.391,2.973,3.501,3.419,3.843,1.72,2.344,2.344,2.701,3.967
21-Apr-26,6.407,3.96,5.981,12.797,6.13,4.589,6.13,3.354,5.781,3.783,4.72,2.352,3.594,3.594,3.492,3.095,3.095,4.522,3.284,2.802,3.407,3.5,3.791,1.658,2.207,2.461,2.658,3.856
21-Apr-26,6.454,4.137,6.031,12.763,6.139,4.566,6.139,3.313,5.643,3.782,4.772,2.422,3.625,3.625,3.572,3.091,3.091,4.5,3.217,2.767,3.281,3.435,3.689,1.647,2.191,2.569,2.695,3.82
