S.NO,Code,StationNames,Lat,Long,Elev,GSM Signal,Satellite ,Province,Status
1,ARG,Arandu_ARG_1,35.7128,75.4033,2490,NO,YES,GB,Installed
2,ARG,Arandu_ARG_2,35.5044,75.678,2368m,YES,YES,GB,Installed
3,ARG,Arandu_ARG_3,35.5588,75.5413,2538m,YES,YES,GB,Installed
4,ARG,Arandu_ARG_4,35.4494,75.8158,2957,NO,YES,GB,Installed
5,ARG,Arandu_ARG_5,35.8803,75.3979,2977m,NO,YES,GB,Installed
6,AWS-H,Arandu_AWS-H_1,35.8605,75.3276,2926,NO,YES,GB,Installed
7,DG,Arandu_DG_1,35.4204,75.714,2248m,YES,YES,GB,Installed
8,WLR,Arandu_WL-R_1,35.6942,75.4202,2416m,NO,YES,GB,Installed
9,WLR,Arandu_WL-R_2,35.5461,75.5769,2268m,NO,YES,GB,Installed
10,WLR,Arandu_WL-R_3,35.8707,75.3331,2785m,NO,YES,GB,Installed
11,WLR,Arandu_WL-R_4,35.4375,75.7884,2580m,NO,YES,GB,Installed
12,WLR,Arandu_WL-R_5,35.5538,75.5253,2815m,YES,YES,GB,Installed
13,WP,Arandu_WP_1,35.8661,75.3371,2790m,NO,YES,GB,Installed
14,WP,Arandu_WP_2,35.5621,75.5489,2430m,YES,YES,GB,Installed
15,WP,Arandu_WP_3,35.484,75.6522,2295m,YES,YES,GB,Installed
16,ARG,Arkari_ARG_1,36.1974,71.7977,4360,NO,YES,KP,Installed
17,ARG,Arkari_ARG_2,36.141,71.6735,2400,Yes,YES,KP,Installed
18,ARG,Arkari_ARG_3,36.284,71.673,2890,Yes,YES,KP,Installed
19,AWS,Arkari_AWS-H_1,36.1923,71.7625,3465,NO,YES,KP,Installed
20,AWS,Arkari_AWS_1,36.1989,71.6775,2607,Yes,YES,KP,Installed
21,DG,Arkari_DG_1,36.1864,71.6718,2466,Yes,YES,KP,Installed
22,WL-R,Arkari_WL-R_1,36.1917,71.7625,2730,Yes,YES,KP,Installed
23,WL-R,Arkari_WL-R_2,36.2149,71.7044,2575,Yes,YES,KP,Installed
24,WP,Arkari_WP_1,36.199,71.6774,2606,Yes,YES,KP,Installed
25,WP,Arkari_WP_2,35.1409,71.6735,2405,Yes,YES,KP,Installed
26,ARG,Badswat_ARG_1,36.3422,73.8542,2259,YES,YES,GB,Installed
27,ARG,Badswat_ARG_2,36.4886,73.9535,2955,NO,YES,GB,Installed
28,ARG,Badswat_ARG_3,36.6339,73.7225,3210,NO,YES,GB,Installed
29,ARG,Badswat_ARG_4,36.5500,73.8177,2590,NO,YES,GB,Installed
30,ARG,Badswat_ARG_5,36.1555,73.847617,1853,YES,YES,GB,Installed
31,AWS,Badswat_AWS_1,36.5214,74.0623,3424,NO,YES,GB,Installed
32,AWS,Badswat_AWS_2,36.5584,73.6993,3100,NO,YES,GB,Installed
33,AWS,Badswat_AWS_3,36.2264,73.7171,1873,YES,YES,GB,Installed
34,DG,Badswat_DG_1,36.6147,74.0651,2837,NO,YES,GB,Installed
35,DG,Badswat_DG_2,36.2738,73.7733,1943,YES,YES,GB,Installed
36,DG,Badswat_DG_3,36.6843,74.0251,3020,NO,YES,GB,Installed
37,DG,Badswat_DG_4,36.4513,73.8412,2160,NO,YES,GB,Installed
38,WL-L,Badswat_WL-L_2,36.6436,73.6483,3808,NO,YES,GB,Installed
39,WL-L,Badswat_WL-L_3,36.5444,74.0401,2605,NO,YES,GB,Installed
40,WL-R,Badswat_WL-R_1,36.5071,73.9251,2340,NO,YES,GB,Installed
41,WL-R,Badswat_WL-R_2,36.5382,74.0331,2728,NO,YES,GB,Installed
42,WP,Badswat_WP_1,36.5404,74.0371,2718,NO,YES,GB,Installed
43,WP,Badswat_WP_2,36.5270,73.9876,2510,NO,YES,GB,Installed
44,ARG,Barah_ARG_1,35.1994,76.2633,2720,YES,YES,GB,Installed
45,ARG,Barah_ARG_2,35.1034,76.2397,4485,NO,YES,GB,Installed
46,AWS-H,Barah_AWS-H_1,35.1287,76.2375,4238,NO,YES,GB,Installed
47,DG,Barah_DG_1,35.2065,76.2736,2500,YES,YES,GB,Installed
48,WL-L,Barah_WL-L_1,35.0977,76.2483,4510,NO,YES,GB,Installed
49,WL-L,Barah_WL-L_2,35.1015,76.2345,4480,NO,YES,GB,Installed
50,WL-R,Barah_WL-R_1,35.1457,76.2457,4067,NO,YES,GB,Installed
51,WL-R,Barah_WL-R_2,35.1181,76.2368,4330,NO,YES,GB,Installed
52,WP,Barah_WP_1,35.2046,76.2727,2748,YES,YES,GB,Installed
53,WP,Barah_WP_2,35.1962,76.2648,2513,YES,YES,GB,Installed
54,ARG,Darkut_ARG_1,36.6723,73.4732,2767,NO,YES,GB,Installed
55,ARG,Darkut_ARG_2,36.5248,73.4284,2530,YES,YES,GB,Installed
56,ARG,Darkut_ARG_3,36.6094,73.4442,2637,YES,YES,GB,Installed
57,ARG,Darkut_ARG_4,36.5360,73.1817,2895,NO,YES,GB,Installed
58,ARG,Darkut_ARG_5,36.4719,73.2947,2698,YES,YES,GB,Installed
59,ARG,Darkut_ARG_6,36.3658,73.3317,2406,YES,YES,GB,Installed
60,AWS,Darkut_AWS_1,36.3986,73.1503,3428,NO,YES,GB,Installed
61,AWS,Darkut_AWS_2,36.4430,73.3946,2610,YES,YES,GB,Installed
62,AWS,Darkut_AWS_3,36.2562,73.3731,2613,NO,YES,GB,Installed
63,DG,Darkut_DG_1,36.5613,73.4367,2563,YES,YES,GB,Installed
64,DG,Darkut_DG_2,36.5037,73.2221,2778,NO,YES,GB,Installed
65,DG,Darkut_DG_3,36.3958,73.2435,2804,NO,YES,GB,Installed
66,DG,Darkut_DG_4,36.3325,73.3611,2297,NO,YES,GB,Installed
67,WL-L,Darkut_WL-L_1,36.6434,73.4043,2737,NO,YES,GB,Installed
68,WL-L,Darkut_WL-L_2,36.6220,73.4736,3869,NO,YES,GB,Installed
69,WL-L,Darkut_WL-L_3,36.35435,73.5109,4143,NO,YES,GB,Installed
70,WL-L,Darkut_WL-L_4,36.4,73.5001,4459,NO,YES,GB,Installed
71,WL-R,Darkut_WL-R_1,36.6415,73.4100,2735,NO,YES,GB,Installed
72,WL-R,Darkut_WL-R_2,36.6477,73.4818,2970,NO,YES,GB,Installed
73,WP,Darkut_WP_1,36.6488,73.4273,2680,NO,YES,GB,Installed
74,WP,Darkut_WP_2,36.4284,73.3852,2475,YES,YES,GB,Installed
75,ARG,Gabral_ARG_1,35.5493,72.4151,2426,Yes,YES,KP,Installed
76,ARG,Gabral_ARG_2,35.6137,72.4092,2653,Yes,YES,KP,Installed
77,ARG,Gabral_ARG_3,35.5828,72.3219,3343,NO,YES,KP,Installed
78,AWS-H,Gabral_AWS-H_1,35.7246,72.4283,3202,NO,YES,KP,Installed
79,AWS,Gabral_AWS_1,35.5993,72.2767,3080,NO,YES,KP,Installed
80,AWS,Gabral_AWS_2,35.5033,72.4314,2287,Yes,YES,KP,Installed
81,DG,Gabral_DG_1,35.6954,72.4017,2907,NO,YES,KP,Installed
82,DG,Gabral_DG_2,35.5027,72.4345,2240,NO,YES,KP,Installed
83,WL-L,Gabral_WL-L_2,35.658055,72.286666,3504,NO,YES,KP,Installed
84,WL-L,Gabral_WL-L_1,35.7226,72.4261,3256,NO,YES,KP,Installed
85,WL-R,Gabral_WL-R_1,35.5688,72.3371,2890,NO,YES,KP,Installed
86,WP,Gabral_WP_1,35.6516,72.3923,2783,NO,YES,KP,Installed
87,WP,Gabral_WP_2,35.5188,72.4167,2322,Yes,YES,KP,Installed
88,ARG,Ghundus_ARG_1,35.033333,76.212777,3821,NO,YES,GB,Installed
89,ARG,Ghundus_ARG_2,35.0387,76.2330,4015,NO,YES,GB,Installed
90,ARG,Ghundus_ARG_3,34.9860,76.2860,4280,NO,YES,GB,Installed
91,AWS,Ghundus_AWS_1,34.9620,76.2096,2515,YES,YES,GB,Installed
92,WL-L,Ghundus_WL-L_2,35.0563,76.2578,4890,NO,YES,GB,Installed
93,WP,Ghundus_WP_1,34.9713,76.2002,2580,Partially available,YES,GB,Installed
94,WP,Ghundus_WP_2,34.9565,76.2230,2786,Partially available,YES,GB,Installed
95,ARG,Ghundus_ARG_4,35.0432,76.2720,4650,NO,YES,GB,Installed
96,AWS-H,Ghundus_AWS-H_1,35.0183,76.2997,4495,NO,YES,GB,Installed
97,WL-L,Ghundus_WL-L_3,35.0098,76.3189,4760,NO,YES,GB,Installed
98,WL-R,Ghundus_WL-R_1,35.0210,76.2749,4125,NO,YES,GB,Installed
99,WL-L,Ghundus_WL-L_1,34.9923,76.2150,2900,NO,YES,GB,Installed
100,DG,Ghundus_DG,34.9835,76.2071,2895,NO,YES,GB,Installed
101,ARG,Gulkin_ARG_1,36.3949,74.8603,2663,Weak Signal,NO,GB,Installed
102,ARG,Gulkin_ARG_2,36.4517,74.8934,2672,Weak Signal,NO,GB,Installed
103,ARG,Gulkin_ARG_3,36.4299,74.8739,2536,NO,NO,GB,Installed
104,AWS,Gulkin_AWS_1,36.3913,74.8567,2651,YES,NO,GB,Installed
105,DG,Gulkin_DG_1,36.4094,74.8770,2440,YES,YES,GB,Installed
106,WL-R,Gulkin_WL-R_3,36.418055,74.846666,2891,NO,YES,GB,Installed
107,WP,Gulkin_WP_1,36.3915,74.8567,2715,YES,YES,GB,Installed
108,WP,Gulkin_WP_2,36.4107,74.8604,2655,NO,YES,GB,Installed
109,WP,Gulkin_WP_3,36.3913,74.8567,2651,NO,YES,GB,Installed
110,ARG,Haramosh-Khaltoro_ARG_1,35.9110,74.7960,2140,Damaged ,NO,GB,Installed
111,ARG,Haramosh-Khaltoro_ARG_2,35.8660,74.7390,1686,YES,NO,GB,Installed
112,ARG,Haramosh-Khaltoro_ARG_3,35.9690,74.7690,2734,Damaged ,NO,GB,Installed
113,ARG,Haramosh-Khaltoro_ARG_4,35.8921,74.7617,1997,Damaged ,NO,GB,Installed
114,ARG,Haramosh-Khaltoro_ARG_5,36.0050,74.8090,3355,Damaged ,NO,GB,Installed
115,WL-L,Haramosh-Khaltoro_WL-L_1,35.9920,74.7870,3318,Damaged ,YES,GB,Installed
116,WL-L,Haramosh-Khaltoro_WL-L_2,35.8930,74.8840,3351,Damaged ,YES,GB,Installed
117,WL-R,Haramosh-Khaltoro_WL-R_1,35.9776,74.7716,2729,Damaged ,YES,GB,Installed
118,WL-R,Haramosh-Khaltoro_WL-R_2,35.9140,74.8040,2243,Damaged ,YES,GB,Installed
119,WL-R,Haramosh-Khaltoro_WL-R_3,35.9600,74.7100,3216,NO,YES,GB,Installed
120,WP,Haramosh-Khaltoro_WP_1,35.9530,74.7150,3236,NO,YES,GB,Installed
121,WP,Haramosh-Khaltoro_WP_2,35.9150,74.8160,2451,Damaged ,YES,GB,Installed
122,WP,Haramosh-Khaltoro_WP_3,35.8877,74.7541,1843,YES,YES,GB,Installed
123,DG,Haramosh-Khaltoro_DG_1,35.8500,74.7392,1417,,YES,GB,Installed
124,ARG,Hisper-Hopper_ARG_1,36.2732,74.7124,2537,NO,NO,GB,Installed
125,ARG,Hisper-Hopper_ARG_2,36.2321,74.7586,2746,YES,NO,GB,Installed
126,ARG,Hisper-Hopper_ARG_3,36.3075,74.6467,2146,YES,NO,GB,Installed
127,ARG,Hisper-Hopper_ARG_4,36.1681,75.0037,3139,NO,NO,GB,Installed
128,ARG,Hisper-Hopper_ARG_5,36.1844,74.8247,3351,NO,YES,GB,Installed
129,DG,Hisper-Hopper_DG_1,36.2824,74.7096,2110,Weak Signal,YES,GB,Installed
130,DG,Hisper-Hopper_DG_2,36.2557,74.7639,2273,Weak Signal,YES,GB,Installed
131,WL-R,Hisper-Hopper_WL-R_1,36.2478,74.7522,2490,NO,YES,GB,Installed
132,WL-R,Hisper-Hopper_WL-R_2,36.1871,74.9686,2810,NO,YES,GB,Installed
133,WP,Hisper-Hopper_WP_1,36.1724,74.9916,3144,NO,YES,GB,Installed
134,WP,Hisper-Hopper_WP_2,36.2634,74.7510,2308,NO,YES,GB,Installed
135,WP,Hisper-Hopper_WP_3,36.2267,74.7553,2806,partially available,YES,GB,Installed
136,ARG,Khaplu_ARG_1,35.1259,76.3155,3400,NO,YES,GB,Installed
137,AWS-H,Khaplu_AWS-H_1,35.0729,76.3194,4369,NO,YES,GB,Installed
138,AWS,Khaplu_AWS_1,35.1657,76.3579,2964,NO,YES,GB,Installed
139,DG,Khaplu_DG_1,35.1556,76.3424,2580,YES,YES,GB,Installed
140,DG,Khaplu_DG_2,35.1297,76.3187,3237,NO,YES,GB,Installed
141,WL-L,Khaplu_WL-L_2,35.0617,76.3124,4690,NO,YES,GB,Installed
142,WL-L,Khaplu_WL-L_3,35.0984,76.2872,4707,NO,YES,GB,Installed
143,WL-R,Khaplu_WL-R_1,35.0728,76.3192,4368,NO,YES,GB,Installed
144,WP,Khaplu_WP_1,35.1627,76.3451,2520,YES,YES,GB,Installed
145,WP,Khaplu_WP_2,35.1489,76.3218,2900,YES,YES,GB,Installed
146,ARG,Kumrat_ARG_1,35.56002,72.19987,2349m,NO,YES,KP,Installed
147,ARG,Kumrat_ARG_2,35.67681,72.21137,3022m,NO,YES,KP,Installed
148,ARG,Kumrat_ARG_3,35.72666,72.14055,3352m,NO,YES,KP,Installed
149,AWS-H,Kumrat_AWS-H_1,35.71929,72.23705,3711m,NO,YES,KP,Installed
150,AWS,Kumrat_AWS_1,35.52008,72.23015,2246m,Weak Signal,YES,KP,Installed
151,DG,Kumrat_DG_1,35.67683,72.21134, 3019m,NO,YES,KP,Installed
152,WL-L,Kumrat_WL-L_1,35.71458,72.14461,3290m,NO,YES,KP,Installed
153,WL-L,Kumrat_WL-L_2,35.72973,72.23235,3735m,NO,YES,KP,Installed
154,WL-R,Kumrat_WL-R_2,35.73123,72.2359,3866m,NO,YES,KP,Installed
155,WL-R,Kumrat_WL-R_1,35.56002,72.19987,2354,NO,YES,KP,Installed
156,WP,Kumrat_WP_1,35.49166,72.24416,2136,NO,YES,KP,Installed
157,WL-R,Kumrat_WL-R_3,35.731388,72.235555,3865,NO,YES,KP,Installed
158,ARG,Madaklasht_ARG_1,35.6906,72.0444,3400,NO,YES,KP,Installed
159,ARG,Madaklasht_ARG_2,35.7145,71.949,1970,Yes,YES,KP,Installed
160,ARG,Madaklasht_ARG_3,35.745,72.064,4020,NO,YES,KP,Installed
161,AWS-H,Madaklasht_AWS-H_1,35.826,72.0933,3310,NO,YES,KP,Installed
162,AWS,Madaklasht_AWS_1,35.6397,71.9074,2185,Yes,YES,KP,Installed
163,AWS,Madaklasht_AWS_2,35.7896,72.0275,3312,Yes,YES,KP,Installed
164,DG,Madaklasht_DG_1,35.7034,71.9376,1890,Yes,YES,KP,Installed
165,WL-L,Madaklasht_WL-L_1,35.8282,72.12,3650,NO,YES,KP,Installed
166,WL-R,Madaklasht_WL-R_1,35.7975,72.0572,3027,NO,YES,KP,Installed
167,WL-R,Madaklasht_WL-R_2,35.7294,71.9849,2110,Yes,YES,KP,Installed
168,WP,Madaklasht_WP_1,35.778,72.0329,2600,Yes,YES,KP,Installed
169,ARG,Mankeyal_ARG_1,35.3648,72.6894,2600,NO,YES,KP,Installed
170,AWS,Mankeyal_AWS_1,35.3502,72.746,3684,NO,YES,KP,Installed
171,DG,Mankeyal_DG_1,35.3301,72.6371,1890,NO,YES,KP,Installed
172,WL-L,Mankeyal_WL-L_1,35.212,72.445,3692,NO,YES,KP,Installed
173,WL-R,Mankeyal_WL-R_1,35.3568,72.6855,2500,NO,YES,KP,Installed
174,WL-R,Mankeyal_WL-R_2,35.3094,72.6538,2315,NO,YES,KP,Installed
175,WP,Mankeyal_WP_1,35.333,72.6413,2153,NO,YES,KP,Installed
176,WP,Mankeyal_WP_2,35.3556,72.6855,2500,NO,YES,KP,Installed
177,ARG,Matiltan_ARG_1,35.5352,72.679,2398,Weak Signal,YES,KP,Installed
178,ARG,Matiltan_ARG_2,35.5114,72.6026,2118,Weak Signal,YES,KP,Installed
179,ARG,Matiltan_ARG_3,35.7116,72.6498,2896,NO,YES,KP,Installed
180,AWS-H,Matiltan_AWS-H_1,35.8229,72.7055,4111,NO,YES,KP,Installed
181,AWS,Matiltan_AWS_1(Destroyed by Avalanche),35.5156,72.694,3124,Weak Signal,YES,KP,Installed
182,DG,Matiltan_DG_2,35.5066,72.6027,2052,NO,YES,KP,Installed
183,WL-L,Matiltan_WL-L_1 (Dismantled/Submerged in Lake),35.8219,72.706,4108m,NO,YES,KP,Installed
184,WL-L,Matiltan_WL-L_2,35.819,72.565,3802m,NO,YES,KP,Installed
185,WL-R,Matiltan_WL-R_1,35.7877,72.6205,3260m,NO,YES,KP,Installed
186,WL-R,Matiltan_WL-R_2,35.5965,72.6843,2445m,NO,YES,KP,Installed
187,WP,Matiltan_WP_1,35.4795,72.5762,2115m,Yes,YES,KP,Installed
188,DG,Matiltan_DG_1,35.7231,72.6401,2920,NO,YES,KP,Installed
189,WP,Matiltan_WP_2,35.5352,72.6663,2332m,Weak Signal,YES,KP,Installed
190,ARG,Parashing_ARG_1,35.4194,74.9227,3462,Weak Signal,YES,GB,Installed
191,ARG,Parashing_ARG_2,35.3836,74.9160,2857,YES,YES,GB,Installed
192,AWS,Parashing_AWS_1,35.3834,74.8888,2721,Weak Signal,YES,GB,Installed
193,AWS,Parashing_AWS_2,35.3930,75.0132,3361,NO,YES,GB,Installed
194,DG,Parashing_DG_1,35.3719,74.8652,2180,Weak Signal,YES,GB,Installed
195,WL-R,Parashing_WL-R_1,35.3724,74.9711,3082,NO,YES,GB,Installed
196,WL-R,Parashing_WL-R_2,35.3942,74.9592,2958,Weak Signal,YES,GB,Installed
197,WP,Parashing_WP_1,35.3934,74.9104,2714,NO,YES,GB,Installed
198,ARG,Reshun-Booni_ARG_1,36.211,72.2853,2954,Weak Signal,YES,KP,Installed
199,ARG,Reshun-Booni_ARG_2,36.1392,72.1414,2354,Weak Signal,YES,KP,Installed
200,ARG,Reshun-Booni_ARG_3,36.2431,72.2604,2304,NO,YES,KP,Installed
201,ARG,Reshun-Booni_ARG_4,36.1486,72.1006,2008,Yes,YES,KP,Installed
202,ARG,Reshun-Booni_ARG_5,36.1467,72.1666,2968,Weak Signal,YES,KP,Installed
203,AWS-H,Reshun-Booni_AWS-H_1,36.147,72.2095,3942,Yes,YES,KP,Installed
204,AWS,Reshun-Booni_AWS_1,36.2224,72.1877,2066,Yes,YES,KP,Installed
205,WL-R,Reshun-Booni_WL-R_1,35.1925,74.615833,2972,NO,YES,KP,Installed
206,WL-R,Reshun-Booni_WL-R_2,36.2315,72.2753,2600,Weak Signal,YES,KP,Installed
207,WP,Reshun-Booni_WP_1,36.1452,72.1211,2058,Yes,YES,KP,Installed
208,WP,Reshun-Booni_WP_2,36.2504,72.2581,2311,Yes,YES,KP,Installed
209,DG,Reshun-Booni_DG_1,36.14492,72.12273,2056,NO,YES,KP,Installed
210,ARG,Rupal_ARG_1,35.2241,74.7977,2675,NO,YES,GB,Installed
211,ARG,Rupal_ARG_2,35.1912,74.6044,3581,NO,YES,GB,Installed
212,ARG,Rupal_ARG_4,35.2337,74.7231,3375,Yes,YES,GB,Installed
213,DG,Rupal_DG_1,35.2314,74.7568,2678,NO,YES,GB,Installed
214,DG,Rupal_DG_2,35.223,74.7097,2960,YES,YES,GB,Installed
215,WL-L,Rupal_WL-L_1,35.1912,74.6162,3553,NO,YES,GB,Installed
216,WL-R,Rupal_WL-R_1,35.1940,74.6282,3520,NO,YES,GB,Installed
217,WP,Rupal_WP_1,35.2078,74.6825,3250,NO,YES,GB,Installed
218,WP,Rupal_WP_2,35.2374,74.7272,2973,NO,YES,GB,Installed
219,ARG,Rupal_ARG_3,35.0641,74.6280,3411,NO,YES,GB,Installed
220,AWS-H,Rupal_AWS-H_1,35.1888,74.6805,3565,NO,YES,GB,Installed
221,WL-R,Rupal_WL-R_2,35.1402,74.6669,3579,NO,YES,GB,Installed
222,ARG,Shimshal_ARG_1,36.4406,75.3394,3096,NO,YES,GB,Installed
223,ARG,Shimshal_ARG_2,36.4035,75.4044,3199,NO,YES,GB,Installed
224,ARG,Shimshal_ARG_3,36.4892,75.1755,2842,NO,YES,GB,Installed
225,AWS-H,Shimshal_AWS-H_1,36.4743,75.5745,4127,NO,YES,GB,Installed
226,DG,Shimshal_DG_1,36.4943,74.9180,2496,NO,YES,GB,Installed
227,DG,Shimshal_DG_2,36.4409,75.3330,3093,NO,YES,GB,Installed
228,WP,Shimshal_WP_1,36.4388,75.3117,3067,NO,YES,GB,Installed
229,WL-R,Shimshal_WL-R_1,36.3721,75.4268,3291,NO,YES,GB,Installed
230,ARG,Sishper-Ultar_ARG_1,36.3517,74.6767,3300,NO,YES,GB,Installed
231,ARG,Sishper-Ultar_ARG_2,36.3658,74.5433,3010,NO,YES,GB,Installed
232,AWS-H,Sishper-Ultar_AWS-H_1,36.3904,74.6175,3582,NO,YES,GB,Installed
233,DG,Sishper-Ultar_DG_1,36.3016,74.5854,2173,YES,YES,GB,Installed
234,WL-R,Sishper-Ultar_WL-R_1,36.3217,74.6723,2272,NO,YES,GB,Installed
235,WL-R,Sishper-Ultar_WL-R_2,36.3378,74.5758,2411,NO,YES,GB,Installed
236,WP,Sishper-Ultar_WP_1,36.3201,74.6716,2390,NO,YES,GB,Installed
237,WP,Sishper-Ultar_WP_2,36.2953,74.5926,2170,NO,YES,GB,Installed
238,ARG,Sosat_ARG_1,36.1093,73.1613,3790,NO,YES,GB,Installed
239,ARG,Sosat_ARG_2,36.1599,73.1351,2570,partially available,YES,GB,Installed
240,ARG,Sosat_ARG_3,36.0830,73.1550,4143,NO,YES,GB,Installed
241,AWS-H,Sosat_AWS-H_1,36.0391,73.1911,4488,NO,YES,GB,Installed
242,DG,Sosat_DG_1,36.1566,73.1322,2536,YES,YES,GB,Installed
243,WL-L,Sosat_WL-L_1,36.0693,73.2020,4454,NO,YES,GB,Installed
244,WL-L,Sosat_WL-L_2,36.0383,73.1910,4486,NO,YES,GB,Installed
245,WL-R,Sosat_WL-R_1,36.1272,73.1470,3280,NO,YES,GB,Installed
246,WL-R,Sosat_WL-R_2,36.0888,73.1596,4186,NO,YES,GB,Installed
247,WL-R,Sosat_WL-R_3,36.0823,73.1771,4150,NO,YES,GB,Installed
248,WP,Sosat_WP_1,36.1593,73.1313,2523,YES,YES,GB,Installed
249,WP,Sosat_WP_2,36.1599,73.1330,2485,YES,YES,GB,Installed
250,ARG,Strangbut_ARG_1,35.4674,75.3289,2670,NO,YES,GB,Installed
251,ARG,Strangbut_ARG_2,35.4085,75.4470,2470,NO,YES,GB,Installed
252,ARG,Strangbut_ARG_3,35.3774,75.3405,3213,NO,YES,GB,Installed
253,ARG,Strangbut_ARG_4,35.2930,75.3985,3652,NO,YES,GB,Installed
254,ARG,Strangbut_ARG_5,35.2917,75.2492,3805,NO,YES,GB,Installed
255,AWS-H,Strangbut_AWS-H_1,35.4011,75.2749,4655,NO,YES,GB,Installed
256,DG,Strangbut_DG_1,35.4028,75.4194,2519,NO,YES,GB,Installed
257,WL-R,Strangbut_WL-R_1,35.4135,75.2640,3835,NO,YES,GB,Installed
258,WL-R,Strangbut_WL-R_2,35.2959,75.2546,3760,NO,YES,GB,Installed
259,WL-R,Strangbut_WL-R_3,35.3124,75.3431,3450,NO,YES,GB,Installed
260,WP,Strangbut_WP_1,35.4633,75.3133,2949,Partially available,YES,GB,Installed
261,WP,Strangbut_WP_2,35.4181,75.4444,2460,Partially available,YES,GB,Installed
262,WP,Strangbut_WP_3,35.3238,75.3397,3382,Partially available,YES,GB,Installed
263,WL-R,Strangbut_WL-R_4,35.2628,75.1933,4560,NO,YES,GB,Installed
264,ARG,Tattu Muthat_ARG_1,35.3653,74.5903,3454,Partially available,YES,GB,Installed
265,ARG,Tattu Muthat_ARG_2,35.4269,74.6541,2871,NO,YES,GB,Installed
266,ARG,Tattu Muthat_ARG_3,35.4017,74.6756,3482,NO,YES,GB,Installed
267,AWS,Tattu Muthat_AWS_1,35.4361,74.6212,3362,YES,YES,GB,Installed
268,DG,Tattu Muthat_DG_1,34.4266,74.6572,2826,NO,YES,GB,Installed
269,WL-L,Tattu Muthat_WL-L_1,35.4125,74.6676,3163,NO,YES,GB,Installed
270,WL-L,Tattu Muthat_WL-L_2,35.401,74.6763,3450,NO,YES,GB,Installed
271,WP,Tattu Muthat_WP_1,35.4265,74.655,2870,NO,YES,GB,Installed
272,WP,Tattu Muthat_WP_2,35.4053,74.5921,2702,YES,YES,GB,Installed
273,WL-R,Tattu Muthat_WL-R_1,35.4203,74.5933,2423,NO,YES,GB,Installed
274,ARG,Kandia_ARG_1,35.475,73.158,1376,Yes,YES,KP,Installed
275,AWS,Kandia_AWS_1,35.4747,72.9652,1497,YES,YES,KP,Installed
276,DG,Kandia_DG_1,35.4397,73.2077,1001,Yes,YES,KP,Installed
277,WL-R,Kandia_WL-R_2,35.4857,73.1497,1238,Yes,YES,KP,Installed
278,WL-R,Kandia_WL-R_1,35.5791,72.9002,2284,NO,YES,KP,Installed
279,WP,Kandia_WP_1,35.4522,72.9516,1013,Yes,YES,KP,Installed
